"icd","icddesc","icdvers","icddate","hcc","rxhcc","inhcc","inrxhcc","year"
"0031","Salmonella Septicemia",9,1/1/1991,"2",,"Yes","No",2008
"00322","Salmonella Pneumonia",9,1/1/1991,"112",,"Yes","No",2008
"00323","Salmonella Arthritis",9,1/1/1991,"37","39","Yes","Yes",2008
"00324","Salmonella Osteomyelitis",9,1/1/1991,"37","39","Yes","Yes",2008
"0064","Amebic Lung Abscess",9,1/1/1991,"112","112","Yes","Yes",2008
"0066","Amebic Skin Ulceration",9,1/1/1991,,"159","No","Yes",2008
"0074","Cryptosporidiosis",9,10/1/1998,"5","2","Yes","Yes",2008
"0201","Cellulocutaneous Plague",9,1/1/1991,,"159","No","Yes",2008
"0202","Septicemic Plague",9,1/1/1991,"2",,"Yes","No",2008
"0203","Primary Pneumonic Plague",9,1/1/1991,"112",,"Yes","No",2008
"0204","Secondary Pneumon Plague",9,1/1/1991,"112",,"Yes","No",2008
"0205","Pneumonic Plague Nos",9,1/1/1991,"112",,"Yes","No",2008
"0212","Pulmonary Tularemia",9,1/1/1991,"112",,"Yes","No",2008
"0220","Cutaneous Anthrax",9,1/1/1991,,"159","No","Yes",2008
"0221","Pulmonary Anthrax",9,1/1/1991,"112",,"Yes","No",2008
"0223","Anthrax Septicemia",9,1/1/1991,"2",,"Yes","No",2008
"0310","Pulmonary Mycobacteria",9,1/1/1991,"5","2","Yes","Yes",2008
"0311","Cutaneous Mycobacteria",9,1/1/1991,,"159","No","Yes",2008
"0312","Dmac Bacteremia",9,10/1/1998,"5","2","Yes","Yes",2008
"03283","Diphtheritic Peritonitis",9,1/1/1991,"31",,"Yes","No",2008
"03285","Cutaneous Diphtheria",9,1/1/1991,,"159","No","Yes",2008
"035","Erysipelas",9,1/1/1991,,"159","No","Yes",2008
"0362","Meningococcemia",9,1/1/1991,"2",,"Yes","No",2008
"0363","Meningococc Adrenal Synd",9,1/1/1991,,"20","No","Yes",2008
"03682","Meningococc Arthropathy",9,1/1/1991,"37","39","Yes","Yes",2008
"038","Septicemia*",9,1/1/1991,"2",,"Yes","No",2008
"0380","Streptococcal Septicemia",9,1/1/1991,"2",,"Yes","No",2008
"0381","Staphylococc Septicemia*",9,1/1/1991,"2",,"Yes","No",2008
"03810","Staphylcocc Septicem Nos",9,10/1/1998,"2",,"Yes","No",2008
"03811","Staph Aureus Septicemia",9,10/1/1998,"2",,"Yes","No",2008
"03812","MRSA SEPTICEMIA",9,10/1/2008,"2",,"Yes","No",2008
"03819","Staphylcocc Septicem Nec",9,10/1/1998,"2",,"Yes","No",2008
"0382","Pneumococcal Septicemia",9,1/1/1991,"2",,"Yes","No",2008
"0383","Anaerobic Septicemia",9,1/1/1991,"2",,"Yes","No",2008
"0384","Gram-Neg Septicemia Nec*",9,1/1/1991,"2",,"Yes","No",2008
"03840","Gram-Neg Septicemia Nos",9,1/1/1991,"2",,"Yes","No",2008
"03841","H. Influenae Septicemia",9,1/1/1991,"2",,"Yes","No",2008
"03842","E Coli Septicemia",9,1/1/1991,"2",,"Yes","No",2008
"03843","Pseudomonas Septicemia",9,1/1/1991,"2",,"Yes","No",2008
"03844","Serratia Septicemia",9,1/1/1991,"2",,"Yes","No",2008
"03849","Gram-Neg Septicemia Nec",9,1/1/1991,"2",,"Yes","No",2008
"0388","Septicemia Nec",9,1/1/1991,"2",,"Yes","No",2008
"0389","Septicemia Nos",9,1/1/1991,"2",,"Yes","No",2008
"0390","Cutaneous Actinomycosis",9,1/1/1991,,"159","No","Yes",2008
"0391","Pulmonary Actinomycosis",9,1/1/1991,"112",,"Yes","No",2008
"0400","Gas Gangrene",9,1/1/1991,"104","106","Yes","Yes",2008
"0402","Whipple'S Disease",9,1/1/1991,"32","31","Yes","Yes",2008
"04082","Toxic Shock Syndrome",9,10/1/2002,"2",,"Yes","No",2008
"042","Human Immuno Virus Dis",9,1/1/1991,"1","1","Yes","Yes",2008
"046","Cns Slow Virus Infection*",9,1/1/1991,,"60","No","Yes",2008
"0460","Kuru",9,1/1/1991,,"60","No","Yes",2008
"0461","Jakob-Creutzfeldt Dis",9,1/1/1991,,"60","No","Yes",2008
"04611","VARNT CREUTZFELDT-JAKOB",9,10/1/2008,,"60","No","Yes",2008
"04619","CREUTZFLDT-JAKOB NEC/NOS",9,10/1/2008,,"60","No","Yes",2008
"0462","Subac Scleros Panenceph",9,1/1/1991,,"60","No","Yes",2008
"0463","Prog Multifoc Leukoencep",9,1/1/1991,,"60","No","Yes",2008
"04671","GERSTMN-STRAUS-SCHNK SYN",9,10/1/2008,,"60","No","Yes",2008
"04672","FATAL FAMILIAL INSOMNIA",9,10/1/2008,,"60","No","Yes",2008
"04679","PRION DIS OF CNS NEC/NOS",9,10/1/2008,,"60","No","Yes",2008
"0468","Cns Slow Virus Infec Nec",9,1/1/1991,,"60","No","Yes",2008
"0469","Cns Slow Virus Infec Nos",9,1/1/1991,,"60","No","Yes",2008
