icd,icddesc,icdvers,icddate,hcc,rxhcc,inhcc,inrxhcc,year
0031,Salmonella Septicemia,9,01jan1991,2,,Yes,No,2010
00322,Salmonella Pneumonia,9,01jan1991,112,,Yes,No,2010
00323,Salmonella Arthritis,9,01jan1991,37,39,Yes,Yes,2010
00324,Salmonella Osteomyelitis,9,01jan1991,37,39,Yes,Yes,2010
0064,Amebic Lung Abscess,9,01jan1991,112,112,Yes,Yes,2010
0066,Amebic Skin Ulceration,9,01jan1991,,159,No,Yes,2010
0074,Cryptosporidiosis,9,01oct1998,5,2,Yes,Yes,2010
0201,Cellulocutaneous Plague,9,01jan1991,,159,No,Yes,2010
0202,Septicemic Plague,9,01jan1991,2,,Yes,No,2010
0203,Primary Pneumonic Plague,9,01jan1991,112,,Yes,No,2010
0204,Secondary Pneumon Plague,9,01jan1991,112,,Yes,No,2010
0205,Pneumonic Plague Nos,9,01jan1991,112,,Yes,No,2010
0212,Pulmonary Tularemia,9,01jan1991,112,,Yes,No,2010
0220,Cutaneous Anthrax,9,01jan1991,,159,No,Yes,2010
0221,Pulmonary Anthrax,9,01jan1991,112,,Yes,No,2010
0223,Anthrax Septicemia,9,01jan1991,2,,Yes,No,2010
0310,Pulmonary Mycobacteria,9,01jan1991,5,2,Yes,Yes,2010
0311,Cutaneous Mycobacteria,9,01jan1991,,159,No,Yes,2010
0312,Dmac Bacteremia,9,01oct1998,5,2,Yes,Yes,2010
03283,Diphtheritic Peritonitis,9,01jan1991,31,,Yes,No,2010
03285,Cutaneous Diphtheria,9,01jan1991,,159,No,Yes,2010
035,Erysipelas,9,01jan1991,,159,No,Yes,2010
0362,Meningococcemia,9,01jan1991,2,,Yes,No,2010
0363,Meningococc Adrenal Synd,9,01jan1991,,20,No,Yes,2010
03682,Meningococc Arthropathy,9,01jan1991,37,39,Yes,Yes,2010
038,Septicemia*,9,01jan1991,2,,No,No,2010
0380,Streptococcal Septicemia,9,01jan1991,2,,Yes,No,2010
0381,Staphylococc Septicemia*,9,01jan1991,2,,No,No,2010
03810,Staphylcocc Septicem Nos,9,01oct1998,2,,Yes,No,2010
03811,Staph Aureus Septicemia,9,01oct1998,2,,Yes,No,2010
03812,MRSA SEPTICEMIA,9,01oct2008,2,,Yes,No,2010
03819,Staphylcocc Septicem Nec,9,01oct1998,2,,Yes,No,2010
0382,Pneumococcal Septicemia,9,01jan1991,2,,Yes,No,2010
0383,Anaerobic Septicemia,9,01jan1991,2,,Yes,No,2010
0384,Gram-Neg Septicemia Nec*,9,01jan1991,2,,No,No,2010
03840,Gram-Neg Septicemia Nos,9,01jan1991,2,,Yes,No,2010
03841,H. Influenae Septicemia,9,01jan1991,2,,Yes,No,2010
03842,E Coli Septicemia,9,01jan1991,2,,Yes,No,2010
03843,Pseudomonas Septicemia,9,01jan1991,2,,Yes,No,2010
03844,Serratia Septicemia,9,01jan1991,2,,Yes,No,2010
03849,Gram-Neg Septicemia Nec,9,01jan1991,2,,Yes,No,2010
0388,Septicemia Nec,9,01jan1991,2,,Yes,No,2010
0389,Septicemia Nos,9,01jan1991,2,,Yes,No,2010
0390,Cutaneous Actinomycosis,9,01jan1991,,159,No,Yes,2010
0391,Pulmonary Actinomycosis,9,01jan1991,112,,Yes,No,2010
0400,Gas Gangrene,9,01jan1991,104,106,Yes,Yes,2010
0402,Whipple'S Disease,9,01jan1991,32,31,Yes,Yes,2010
04082,Toxic Shock Syndrome,9,01oct2002,2,,Yes,No,2010
042,Human Immuno Virus Dis,9,01jan1991,1,1,Yes,Yes,2010
046,Cns Slow Virus Infection*,9,01jan1991,,60,No,No,2010
0460,Kuru,9,01jan1991,,60,No,Yes,2010
0461,Jakob-Creutzfeldt Dis,9,01jan1991,,60,No,No,2010
04611,VARNT CREUTZFELDT-JAKOB,9,01oct2008,,60,No,Yes,2010
04619,CREUTZFLDT-JAKOB NEC/NOS,9,01oct2008,,60,No,Yes,2010
0462,Subac Scleros Panenceph,9,01jan1991,,60,No,Yes,2010
0463,Prog Multifoc Leukoencep,9,01jan1991,,60,No,Yes,2010
04671,GERSTMN-STRAUS-SCHNK SYN,9,01oct2008,,60,No,Yes,2010
04672,FATAL FAMILIAL INSOMNIA,9,01oct2008,,60,No,Yes,2010
04679,PRION DIS OF CNS NEC/NOS,9,01oct2008,,60,No,Yes,2010
0468,Cns Slow Virus Infec Nec,9,01jan1991,,60,No,Yes,2010
0469,Cns Slow Virus Infec Nos,9,01jan1991,,60,No,Yes,2010
0522,Postvaricella myelitis,9,01oct2006,,87,No,Yes,2010
0531,Oth H Zoster Nerv Syst*,9,01jan1991,,86,No,No,2010
05310,H Zoster Nerv Syst Nos,9,01jan1991,,86,No,Yes,2010
05311,Geniculate Herpes Zoster,9,01jan1991,,86,No,Yes,2010
05312,Postherpes Trigem Neural,9,01jan1991,,86,No,Yes,2010
05313,Postherpes Polyneuropath,9,01jan1991,,86,No,Yes,2010
05314,Herpes zoster myelitis,9,01oct2006,,87,No,Yes,2010
05319,H Zoster Nerv Syst Nec,9,01jan1991,,86,No,Yes,2010
054,Herpes Simplex*,9,01jan1991,,3,No,No,2010
0540,Eczema Herpeticum,9,01jan1991,,3,No,Yes,2010
0541,Genital Herpes*,9,01jan1991,,3,No,No,2010
05410,Genital Herpes Nos,9,01jan1991,,3,No,Yes,2010
05411,Herpetic Vulvovaginitis,9,01jan1991,,3,No,Yes,2010
05412,Herpetic Ulcer Of Vulva,9,01jan1991,,3,No,Yes,2010
05413,Herpetic Infect Of Penis,9,01jan1991,,3,No,Yes,2010
05419,Genital Herpes Nec,9,01jan1991,,3,No,Yes,2010
0542,Herpetic Gingivostomat,9,01jan1991,,3,No,Yes,2010
0544,Herpes Simplex Of Eye*,9,01jan1991,,3,No,No,2010
05440,Herpes Simplex Eye Nos,9,01jan1991,,3,No,Yes,2010
05441,Herpes Simplex Of Eyelid,9,01jan1991,,3,No,Yes,2010
05442,Dendritic Keratitis,9,01jan1991,,3,No,Yes,2010
05443,H Simplex Keratitis,9,01jan1991,,3,No,Yes,2010
05449,Herpes Simplex Eye Nec,9,01jan1991,,3,No,Yes,2010
0545,Herpetic Septicemia,9,01jan1991,2,,Yes,No,2010
0546,Herpetic Whitlow,9,01jan1991,,3,No,Yes,2010
0547,Oth Complicat H Simplex*,9,01jan1991,,3,No,No,2010
05471,Visceral Herpes Simplex,9,01jan1991,,3,No,Yes,2010
05473,H Simplex Otitis Externa,9,01jan1991,,3,No,Yes,2010
05474,Herpes simplex myelitis,9,01oct2006,,87,No,Yes,2010
05479,H Simplex Complicat Nec,9,01jan1991,,3,No,Yes,2010
0548,H Simplex Complicat Nos,9,01jan1991,,3,No,Yes,2010
0549,Herpes Simplex Nos,9,01jan1991,,3,No,Yes,2010
05671,Arthritis Due To Rubella,9,01jan1991,37,39,Yes,Yes,2010
07022,Hpt B Chrn Coma Wo Dlta,9,01jan1991,27,24,Yes,Yes,2010
07023,Hpt B Chrn Coma W Dlta,9,01jan1991,27,24,Yes,Yes,2010
07032,Hpt B Chrn Wo Cm Wo Dlta,9,01jan1991,27,24,Yes,Yes,2010
07033,Hpt B Chrn Wo Cm W Dlta,9,01jan1991,27,24,Yes,Yes,2010
07044,Chrnc Hpt C W Hepat Coma,9,01jan1991,27,24,Yes,Yes,2010
07054,Chrnc Hpt C Wo Hpat Coma,9,01jan1991,27,24,Yes,Yes,2010
0723,Mumps Pancreatitis,9,01jan1991,32,,Yes,No,2010
0785,Cytomegaloviral Disease,9,01jan1991,5,2,Yes,Yes,2010
0786,Hem Nephrosonephritis,9,01jan1991,132,135,Yes,Yes,2010
07953,Hiv-2 Infection Oth Dis,9,01jan1991,1,1,Yes,Yes,2010
09487,Syph Rupt Cereb Aneurysm,9,01jan1991,95,102,Yes,Yes,2010
0985,Gonococcal Infect Joint*,9,01jan1991,37,39,No,No,2010
09850,Gonococcal Arthritis,9,01jan1991,37,39,Yes,Yes,2010
09851,Gonococcal Synovitis,9,01jan1991,37,39,Yes,Yes,2010
09852,Gonococcal Bursitis,9,01jan1991,37,39,Yes,Yes,2010
09853,Gonococcal Spondylitis,9,01jan1991,37,39,Yes,Yes,2010
09859,Gc Infect Joint Nec,9,01jan1991,37,39,Yes,Yes,2010
09886,Gonococcal Peritonitis,9,01jan1991,31,,Yes,No,2010
1026,Yaws Of Bone & Joint,9,01jan1991,37,39,Yes,Yes,2010
1120,Thrush,9,01jan1991,,3,No,Yes,2010
1121,Candidal Vulvovaginitis,9,01jan1991,,144,No,Yes,2010
1124,Candidiasis Of Lung,9,01jan1991,5,2,Yes,Yes,2010
1125,Disseminated Candidiasis,9,01jan1991,5,2,Yes,Yes,2010
11284,Candidal Esophagitis,9,01jan1991,5,2,Yes,Yes,2010
114,Coccidioidomycosis*,9,01jan1991,,3,No,No,2010
1140,Primary Coccidioidomycos,9,01jan1991,112,112,Yes,Yes,2010
1141,Prim Cutan Coccidioid,9,01jan1991,,3,No,Yes,2010
1143,Progress Coccidioid Nec,9,01jan1991,,3,No,Yes,2010
1144,Ch Pl Coccidioidomycosis,9,01jan1991,112,112,Yes,Yes,2010
1145,Pl Cocidioidomycosis Nos,9,01jan1991,112,112,Yes,Yes,2010
1149,Coccidioidomycosis Nos,9,01jan1991,,3,No,Yes,2010
115,Histoplasmosis*,9,01jan1991,,3,No,No,2010
1150,Histoplasma Capsulatum*,9,01jan1991,,3,No,No,2010
11500,Histoplasma Capsulat Nos,9,01jan1991,,3,No,Yes,2010
11502,Histoplasm Capsul Retina,9,01jan1991,,3,No,Yes,2010
11505,Histoplasm Caps Pneumon,9,01jan1991,112,112,Yes,Yes,2010
11509,Histoplasma Capsulat Nec,9,01jan1991,,3,No,Yes,2010
1151,Histoplasma Duboisii*,9,01jan1991,,3,No,No,2010
11510,Histoplasma Duboisii Nos,9,01jan1991,,3,No,Yes,2010
11512,Histoplasm Dubois Retina,9,01jan1991,,3,No,Yes,2010
11515,Histoplasm Dub Pneumonia,9,01jan1991,112,112,Yes,Yes,2010
11519,Histoplasma Duboisii Nec,9,01jan1991,,3,No,Yes,2010
1159,"Histoplasmosis, Unspec*",9,01jan1991,,3,No,No,2010
11590,Histoplasmosis Nos,9,01jan1991,,3,No,Yes,2010
11592,Histoplasmosis Retinitis,9,01jan1991,,3,No,Yes,2010
11595,Histoplasmosis Pneumonia,9,01jan1991,112,112,Yes,Yes,2010
11599,Histoplasmosis Nec,9,01jan1991,,3,No,Yes,2010
116,Blastomycotic Infection*,9,01jan1991,,3,No,No,2010
1160,Blastomycosis,9,01jan1991,,3,No,Yes,2010
1161,Paracoccidioidomycosis,9,01jan1991,,3,No,Yes,2010
1162,Lobomycosis,9,01jan1991,,3,No,Yes,2010
1173,Aspergillosis,9,01jan1991,5,2,Yes,Yes,2010
1175,Cryptococcosis,9,01jan1991,5,2,Yes,Yes,2010
1177,Zygomycosis,9,01jan1991,5,2,Yes,Yes,2010
1212,Paragonimiasis,9,01jan1991,112,112,Yes,Yes,2010
1221,Echinococc Granul Lung,9,01jan1991,112,112,Yes,Yes,2010
1300,Toxoplasm Meningoenceph,9,01jan1991,5,2,Yes,Yes,2010
1304,Toxoplasma Pneumonitis,9,01jan1991,112,112,Yes,Yes,2010
1308,Multisystem Toxoplasmos,9,01jan1991,5,2,Yes,Yes,2010
131,Trichomoniasis*,9,01jan1991,,144,No,No,2010
1310,Urogenital Trichomonias*,9,01jan1991,,144,No,No,2010
13100,Urogenital Trichomon Nos,9,01jan1991,,144,No,Yes,2010
13101,Trichomonal Vaginitis,9,01jan1991,,144,No,Yes,2010
13102,Trichomonal Urethritis,9,01jan1991,,144,No,Yes,2010
13103,Trichomonal Prostatitis,9,01jan1991,,144,No,Yes,2010
13109,Urogenital Trichomon Nec,9,01jan1991,,144,No,Yes,2010
1318,Trichomoniasis Nec,9,01jan1991,,144,No,Yes,2010
1319,Trichomoniasis Nos,9,01jan1991,,144,No,Yes,2010
135,Sarcoidosis,9,01jan1991,,110,No,Yes,2010
1361,Behcet'S Syndrome,9,01jan1991,38,40,Yes,Yes,2010
1363,Pneumocystosis,9,01jan1991,5,2,Yes,Yes,2010
1371,Late Effect Cns Tb,9,01jan1991,,3,No,Yes,2010
138,Late Effect Acute Polio,9,01jan1991,,3,No,Yes,2010
1390,Late Eff Viral Encephal,9,01jan1991,,3,No,Yes,2010
141,Malig Neo Tongue*,9,01jan1991,9,,No,No,2010
1410,Mal Neo Tongue Base,9,01jan1991,9,,Yes,No,2010
1411,Mal Neo Dorsal Tongue,9,01jan1991,9,,Yes,No,2010
1412,Mal Neo Tip/Lat Tongue,9,01jan1991,9,,Yes,No,2010
1413,Mal Neo Ventral Tongue,9,01jan1991,9,,Yes,No,2010
1414,Mal Neo Ant 2/3 Tongue,9,01jan1991,9,,Yes,No,2010
1415,Mal Neo Tongue Junction,9,01jan1991,9,,Yes,No,2010
1416,Mal Neo Lingual Tonsil,9,01jan1991,9,,Yes,No,2010
1418,Malig Neo Tongue Nec,9,01jan1991,9,,Yes,No,2010
1419,Malig Neo Tongue Nos,9,01jan1991,9,,Yes,No,2010
142,Mal Neo Major Salivary*,9,01jan1991,9,,No,No,2010
1420,Malig Neo Parotid,9,01jan1991,9,,Yes,No,2010
1421,Malig Neo Submandibular,9,01jan1991,9,,Yes,No,2010
1422,Malig Neo Sublingual,9,01jan1991,9,,Yes,No,2010
1428,Mal Neo Maj Salivary Nec,9,01jan1991,9,,Yes,No,2010
1429,Mal Neo Salivary Nos,9,01jan1991,9,,Yes,No,2010
143,Malignant Neoplasm Gum*,9,01jan1991,9,,No,No,2010
1430,Malig Neo Upper Gum,9,01jan1991,9,,Yes,No,2010
1431,Malig Neo Lower Gum,9,01jan1991,9,,Yes,No,2010
1438,Malig Neo Gum Nec,9,01jan1991,9,,Yes,No,2010
1439,Malig Neo Gum Nos,9,01jan1991,9,,Yes,No,2010
144,Malig Neo Mouth Floor*,9,01jan1991,9,,No,No,2010
1440,Mal Neo Ant Floor Mouth,9,01jan1991,9,,Yes,No,2010
1441,Mal Neo Lat Floor Mouth,9,01jan1991,9,,Yes,No,2010
1448,Mal Neo Mouth Floor Nec,9,01jan1991,9,,Yes,No,2010
1449,Mal Neo Mouth Floor Nos,9,01jan1991,9,,Yes,No,2010
145,Malig Neo Mouth Nec/Nos*,9,01jan1991,9,,No,No,2010
1450,Mal Neo Cheek Mucosa,9,01jan1991,9,,Yes,No,2010
1451,Mal Neo Mouth Vestibule,9,01jan1991,9,,Yes,No,2010
1452,Malig Neo Hard Palate,9,01jan1991,9,,Yes,No,2010
1453,Malig Neo Soft Palate,9,01jan1991,9,,Yes,No,2010
1454,Malignant Neoplasm Uvula,9,01jan1991,9,,Yes,No,2010
1455,Malignant Neo Palate Nos,9,01jan1991,9,,Yes,No,2010
1456,Malig Neo Retromolar,9,01jan1991,9,,Yes,No,2010
1458,Malig Neoplasm Mouth Nec,9,01jan1991,9,,Yes,No,2010
1459,Malig Neoplasm Mouth Nos,9,01jan1991,9,,Yes,No,2010
146,Malig Neo Oropharynx*,9,01jan1991,9,,No,No,2010
1460,Malignant Neopl Tonsil,9,01jan1991,9,,Yes,No,2010
1461,Mal Neo Tonsillar Fossa,9,01jan1991,9,,Yes,No,2010
1462,Mal Neo Tonsil Pillars,9,01jan1991,9,,Yes,No,2010
1463,Malign Neopl Vallecula,9,01jan1991,9,,Yes,No,2010
1464,Mal Neo Ant Epiglottis,9,01jan1991,9,,Yes,No,2010
1465,Mal Neo Epiglottis Junct,9,01jan1991,9,,Yes,No,2010
1466,Mal Neo Lat Oropharynx,9,01jan1991,9,,Yes,No,2010
1467,Mal Neo Post Oropharynx,9,01jan1991,9,,Yes,No,2010
1468,Mal Neo Oropharynx Nec,9,01jan1991,9,,Yes,No,2010
1469,Malig Neo Oropharynx Nos,9,01jan1991,9,,Yes,No,2010
147,Malig Neo Nasopharynx*,9,01jan1991,9,,No,No,2010
1470,Mal Neo Super Nasopharyn,9,01jan1991,9,,Yes,No,2010
1471,Mal Neo Post Nasopharynx,9,01jan1991,9,,Yes,No,2010
1472,Mal Neo Lat Nasopharynx,9,01jan1991,9,,Yes,No,2010
1473,Mal Neo Ant Nasopharynx,9,01jan1991,9,,Yes,No,2010
1478,Mal Neo Nasopharynx Nec,9,01jan1991,9,,Yes,No,2010
1479,Mal Neo Nasopharynx Nos,9,01jan1991,9,,Yes,No,2010
148,Malig Neopl Hypopharynx*,9,01jan1991,9,,No,No,2010
1480,Mal Neo Postcricoid,9,01jan1991,9,,Yes,No,2010
1481,Mal Neo Pyriform Sinus,9,01jan1991,9,,Yes,No,2010
1482,Mal Neo Aryepiglott Fold,9,01jan1991,9,,Yes,No,2010
1483,Mal Neo Post Hypopharynx,9,01jan1991,9,,Yes,No,2010
1488,Mal Neo Hypopharynx Nec,9,01jan1991,9,,Yes,No,2010
1489,Mal Neo Hypopharynx Nos,9,01jan1991,9,,Yes,No,2010
149,Oth Malig Neo Oropharynx*,9,01jan1991,9,,No,No,2010
1490,Mal Neo Pharynx Nos,9,01jan1991,9,,Yes,No,2010
1491,Mal Neo Waldeyer'S Ring,9,01jan1991,9,,Yes,No,2010
1498,Mal Neo Oral/Pharynx Nec,9,01jan1991,9,,Yes,No,2010
1499,Mal Neo Orophryn Ill-Def,9,01jan1991,9,,Yes,No,2010
150,Malignant Neo Esophagus*,9,01jan1991,8,10,No,No,2010
1500,Mal Neo Cervical Esophag,9,01jan1991,8,10,Yes,Yes,2010
1501,Mal Neo Thoracic Esophag,9,01jan1991,8,10,Yes,Yes,2010
1502,Mal Neo Abdomin Esophag,9,01jan1991,8,10,Yes,Yes,2010
1503,Mal Neo Upper 3Rd Esoph,9,01jan1991,8,10,Yes,Yes,2010
1504,Mal Neo Middle 3Rd Esoph,9,01jan1991,8,10,Yes,Yes,2010
1505,Mal Neo Lower 3Rd Esoph,9,01jan1991,8,10,Yes,Yes,2010
1508,Mal Neo Esophagus Nec,9,01jan1991,8,10,Yes,Yes,2010
1509,Mal Neo Esophagus Nos,9,01jan1991,8,10,Yes,Yes,2010
151,Malignant Neo Stomach*,9,01jan1991,8,10,No,No,2010
