"icd","icddesc","icdvers","hcc","rxhcc","inhcc","inrxhcc","year"
"0031","Salmonella septicemia",9,2,,"Yes","No",2011
"00322","Salmonella pneumonia",9,112,,"Yes","No",2011
"00323","Salmonella arthritis",9,37,,"Yes","No",2011
"00324","Salmonella osteomyelitis",9,37,,"Yes","No",2011
"0064","Amebic lung abscess",9,112,106,"Yes","Yes",2011
"0074","Cryptosporidiosis",9,5,5,"Yes","Yes",2011
"0202","Septicemic plague",9,2,,"Yes","No",2011
"0203","Primary pneumonic plague",9,112,,"Yes","No",2011
"0204","Secondary pneumon plague",9,112,,"Yes","No",2011
"0205","Pneumonic plague NOS",9,112,,"Yes","No",2011
"0212","Pulmonary tularemia",9,112,,"Yes","No",2011
"0221","Pulmonary anthrax",9,112,,"Yes","No",2011
"0223","Anthrax septicemia",9,2,,"Yes","No",2011
"0310","Pulmonary mycobacteria",9,5,5,"Yes","Yes",2011
"0312","DMAC bacteremia",9,5,5,"Yes","Yes",2011
"03283","Diphtheritic peritonitis",9,31,,"Yes","No",2011
"0362","Meningococcemia",9,2,,"Yes","No",2011
"0363","Meningococc adrenal synd",9,,19,"No","Yes",2011
"03682","Meningococc arthropathy",9,37,,"Yes","No",2011
"0380","Streptococcal septicemia",9,2,,"Yes","No",2011
"03810","Staphylcocc septicem NOS",9,2,,"Yes","No",2011
"03811","Meth susc Staph aur sept",9,2,,"Yes","No",2011
"03812","MRSA septicemia",9,2,,"Yes","No",2011
"03819","Staphylcocc septicem NEC",9,2,,"Yes","No",2011
"0382","Pneumococcal septicemia",9,2,,"Yes","No",2011
"0383","Anaerobic septicemia",9,2,,"Yes","No",2011
"03840","Gram-neg septicemia NOS",9,2,,"Yes","No",2011
"03841","H. influenae septicemia",9,2,,"Yes","No",2011
"03842","E coli septicemia",9,2,,"Yes","No",2011
"03843","Pseudomonas septicemia",9,2,,"Yes","No",2011
"03844","Serratia septicemia",9,2,,"Yes","No",2011
